num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
00070698000111,CEB,Companhia Energética de Brasília,companhia energetica de brasilia,DF,Centro-Oeste,curadoria_manual_validada,Agente histórico Companhia Energética de Brasília; UF definida pela área de distribuição no Distrito Federal.
07522669000192,CEBDIS,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,neoenergia distribuicao brasilia s.a.,DF,Centro-Oeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Neoenergia Distribuição Brasília.
60196987000193,CEDRAP,COOPERATIVA DE ELETRIFICACAO DA REGIAO DO ALTO PARAIBA,cooperativa de eletrificacao da regiao do alto paraiba,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cedrap.
60196987000193,CEDRAP,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO PARAÍBA,cooperativa de eletrificacao da regiao do alto paraiba,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cedrap.
50105865000190,CEDRI,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,cooperativa de eletrificacao e distribuicao da regiao de itariri,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cedri.
92715812000131,CEEE,Companhia Estadual de Energia Elétrica,companhia estadual de energia eletrica,RS,Sul,curadoria_manual_validada,Agente histórico Companhia Estadual de Energia Elétrica; UF definida pela área estadual no Rio Grande do Sul.
08467115000100,CEEE-D,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE-D,companhia estadual de distribuicao de energia eletrica - ceee-d,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para CEEE-D.
08467115000100,CEEE-D,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - CEEE-D,companhia estadual de distribuicao de energia eletrica - ceee-d,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para CEEE-D.
86444163000189,CEGERO,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,cooperativa de eletricidade de sao ludgero,SC,Sul,curadoria_manual_validada,Cooperativa de Eletricidade de São Ludgero; UF definida pela área municipal/estadual inequívoca em Santa Catarina.
85665990000130,CEJAMA,CEJAMA - COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,cejama - cooperativa de eletricidade jacinto machado,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cejama.
08826596000195,CELB,Companhia Energética da Borborema,companhia energetica da borborema,PB,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Borborema.
08336783000190,CELESC,CELESC DISTRIBUICAO S.A,celesc distribuicao s.a,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Celesc Distribuição.
83878892000155,CELESC,Centrais Elétricas Santa Catarina S/A,centrais eletricas santa catarina s/a,SC,Sul,curadoria_manual_validada,Agente histórico Centrais Elétricas de Santa Catarina; UF definida pela área estadual de distribuição em Santa Catarina.
08336783000190,CELESC-DIS,CELESC DISTRIBUIÇÃO S.A,celesc distribuicao s.a,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Celesc Distribuição.
87776043000141,CELETRO,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA,cooperativa de eletrificacao centro jacui ltda,RS,Sul,curadoria_manual_validada,Cooperativa Centro Jacuí; UF definida pela área regional no Rio Grande do Sul.
01543032000104,CELG,Companhia Energética de Goiás,companhia energetica de goias,GO,Centro-Oeste,aneel_cadastro_agentes,UF confirmada para a área de distribuição de Goiás; CNPJ associado historicamente à CELG-D e atualmente à Equatorial Goiás.
01543032000104,CELG-D,CELG DISTRIBUIÇÃO S.A. - CELG D,celg distribuicao s.a. - celg d,GO,Centro-Oeste,aneel_cadastro_agentes,UF confirmada para a área de distribuição de Goiás; CNPJ associado historicamente à CELG-D e atualmente à Equatorial Goiás.
10835932000108,CELPE,COMPANHIA ENERGÉTICA DE PERNAMBUCO,companhia energetica de pernambuco,PE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Neoenergia Pernambuco/Celpe.
17155730000164,CEMIG,Companhia Energética de Minas Gerais,companhia energetica de minas gerais,MG,Sudeste,curadoria_manual_validada,Agente histórico Cemig; UF definida pela área estadual de distribuição em Minas Gerais.
06981180000116,CEMIG-D,CEMIG DISTRIBUIÇÃO S.A,cemig distribuicao s.a,MG,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cemig Distribuição.
52777034000190,CEMIRIM,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,cooperativa de eletrificacao e desenvolvimento da regiao de mogi mirim,SP,Sudeste,curadoria_manual_validada,Cooperativa da região de Mogi Mirim; UF definida pela área municipal/estadual inequívoca em São Paulo.
33249046000289,CENF,Companhia de Eletricidade Nova Friburgo,companhia de eletricidade nova friburgo,RJ,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Companhia de Eletricidade Nova Friburgo/Energisa Nova Friburgo.
78274610000170,CEPRAG,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,cooperativa de eletricidade praia grande,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceprag.
75826404000138,CERAL ANITÁPOLIS,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ANITAPOLIS - CERAL,cooperativa de distribuicao de energia eletrica de anitapolis - ceral,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceral Anitápolis.
75826404000138,CERAL ANITÁPOLIS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS - CERAL,cooperativa de distribuicao de energia eletrica de anitapolis - ceral,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceral Anitápolis.
10532365000110,CERAL ARAPOTI,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ARAPOTI,cooperativa de distribuicao de energia eletrica de arapoti,PR,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceral Arapoti.
28610236000169,CERAL ARARUAMA,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA LTDA,cooperativa de eletrificacao rural de araruama ltda,RJ,Sudeste,curadoria_manual_validada,Cooperativa de Araruama; UF definida pela área municipal/estadual inequívoca no Rio de Janeiro.
10532365000110,CERAL-DIS,COOPERATIVA DE DISTRIBUICAO DE ENERGIA ELETRICA DE ARAPOTI,cooperativa de distribuicao de energia eletrica de arapoti,PR,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceral Arapoti.
09364804000144,CERAÇÁ,CERAÇÁ - COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,ceraca - cooperativa distribuidora de energia vale do araca,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceraçá.
86433042000131,CERBRANORTE,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,cooperativa de eletrificacao de braco do norte,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerbranorte.
27707397000102,CERCI,COOPERATIVA DE ELETRIFICACAO RURAL CACHOEIRAS ITABORAI LTDA,cooperativa de eletrificacao rural cachoeiras itaborai ltda,RJ,Sudeste,curadoria_manual_validada,Cooperativa Cachoeiras-Itaboraí; UF definida pela área municipal/estadual inequívoca no Rio de Janeiro.
27707397000102,CERCI,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS ITABORAÍ LTDA,cooperativa de eletrificacao rural cachoeiras itaborai ltda,RJ,Sudeste,curadoria_manual_validada,Cooperativa Cachoeiras-Itaboraí; UF definida pela área municipal/estadual inequívoca no Rio de Janeiro.
13107842000199,CERCOS,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,cooperativa de eletrificacao e desenvolvimento rural centro sul de sergipe ltda,SE,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cercos.
82574864000181,CEREJ,COOPERATIVA DE PRESTACAO DE SERVICOS PUBLICOS DE DISTRIBUICAO DE ENERGIA ELETRICA SENADOR ESTEVES JUNIOR - CEREJ,cooperativa de prestacao de servicos publicos de distribuicao de energia eletrica senador esteves junior - cerej,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerej.
82574864000181,CEREJ,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR - CEREJ,cooperativa de prestacao de servicos publicos de distribuicao de energia eletrica senador esteves junior - cerej,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerej.
31465487000101,CERES,COOPERATIVA DE ELETRIFICACAO RURAL DE RESENDE LTDA,cooperativa de eletrificacao rural de resende ltda,RJ,Sudeste,aneel_cadastro_agentes,"UF confirmada em fonte oficial ANEEL para Ceres, em Resende/RJ."
31465487000101,CERES,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA,cooperativa de eletrificacao rural de resende ltda,RJ,Sudeste,aneel_cadastro_agentes,"UF confirmada em fonte oficial ANEEL para Ceres, em Resende/RJ."
97505838000179,CERFOX,CERFOX - COOPERATIVA DE DISTRIBUICAO DE ENERGIA FONTOURA XAVIER,cerfox - cooperativa de distribuicao de energia fontoura xavier,RS,Sul,curadoria_manual_validada,Cerfox/Fontoura Xavier; UF definida pela área municipal/estadual inequívoca no Rio Grande do Sul.
97505838000179,CERFOX,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,cooperativa de distribuicao de energia fontoura xavier,RS,Sul,curadoria_manual_validada,Cerfox/Fontoura Xavier; UF definida pela área municipal/estadual inequívoca no Rio Grande do Sul.
86439510000185,CERGAL,COOPERATIVA DE ELETRIFICACAO ANITA GARIBALDI,cooperativa de eletrificacao anita garibaldi,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cergal.
86439510000185,CERGAL,COOPERATIVA DE ELETRIFICAÇÃO ANITA GARIBALDI,cooperativa de eletrificacao anita garibaldi,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cergal.
01229747000189,CERGAPA,COOPERATIVA DE ELETRICIDADE GRÃO PARÁ,cooperativa de eletricidade grao para,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cergapa.
86449170000173,CERGRAL,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,cooperativa de eletricidade de gravatal,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cergral.
87656989000174,CERILUZ,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,cooperativa regional de energia e desenvolvimento ijui ltda,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceriluz.
50235449000107,CERIM,COOPERATIVA DE ELETRIFICAO E DESENVOLVIMENTO DA REGIAO DE ITU MAIRINQUE,cooperativa de eletrificao e desenvolvimento da regiao de itu mairinque,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerim.
49606312000132,CERIPA,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ PARANAPANEMA AVARÉ LTDA,cooperativa de eletrificacao rural de itai paranapanema avare ltda,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceripa.
49606312000132,CERIPa,COOP DE ELET RURAL DE ITAI PARANAPANEMA AVARE LTDA,coop de elet rural de itai paranapanema avare ltda,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceripa.
57384943000182,CERIS,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DE ITAPECERICA DA SERRA,cooperativa de eletrificacao da regiao de itapecerica da serra,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Ceris.
52548732000114,CERMC,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO DA REGIAO DE MOGI DAS CRUZES,cooperativa de eletrificacao e desenvolvimento da regiao de mogi das cruzes,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cermc.
52548732000114,CERMC,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,cooperativa de eletrificacao e desenvolvimento da regiao de mogi das cruzes,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cermc.
97081434000103,CERMISSÕES,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES - CERMISSÕES,cooperativa de distribuicao e geracao de energia das missoes - cermissoes,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cermissões.
86533346000170,CERMOFUL,COOPERATIVA FUMACENSE DE ELETRICIDADE - CERMOFUL ENERGIA,cooperativa fumacense de eletricidade - cermoful energia,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cermoful.
53176038000186,CERNHE,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL DA REGIAO DE NOVO HORIZONTE,cooperativa de eletrificacao e desenvolvimento rural da regiao de novo horizonte,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cernhe.
53176038000186,CERNHE,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,cooperativa de eletrificacao e desenvolvimento rural da regiao de novo horizonte,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cernhe.
05914650000166,CERON,ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A,energisa rondonia - distribuidora de energia s.a,RO,Norte,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Energisa Rondônia/Ceron.
85318640000105,CERPALO,COOPERATIVA DE ELETRICIDADE DE PAULO LOPES,cooperativa de eletricidade de paulo lopes,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerpalo.
44560381000139,CERPRO,COOPERATIVA DE ELETRIFICACAO RURAL DA REGIAO DE PROMISSAO,cooperativa de eletrificacao rural da regiao de promissao,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerpro.
44560381000139,CERPRO,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,cooperativa de eletrificacao rural da regiao de promissao,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerpro.
05938444000196,CERR,Companhia Energética de Roraima,companhia energetica de roraima,RR,Norte,curadoria_manual_validada,Agente histórico Companhia Energética de Roraima; UF definida pela denominação e área estadual inequívoca em Roraima.
46598678000119,CERRP,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO-CERRP,cooperativa de eletrificacao e desenvolvimento da regiao de sao jose do rio preto-cerrp,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cerrp.
11615872000180,CERSAD DISTRIBUI,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,cooperativa de distribuicao de energia eletrica salto donner,SC,Sul,site_institucional_distribuidora,"UF confirmada no site institucional da Cersad Distribuidora, com endereço em Doutor Pedrinho/SC."
11615872000180,CERSAD DISTRIBUIDORA,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,cooperativa de distribuicao de energia eletrica salto donner,SC,Sul,site_institucional_distribuidora,"UF confirmada no site institucional da Cersad Distribuidora, com endereço em Doutor Pedrinho/SC."
86512670000102,CERSUL,CERSUL - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,cersul - cooperativa de distribuicao de energia,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cersul.
97839922000129,CERTAJA,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,cooperativa regional de energia taquari jacui,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Certaja.
09257558000121,CERTEL ENERGIA,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,cooperativa de distribuicao de energia teutonia,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Certel.
98042963000152,CERTHIL,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,cooperativa de distribuicao de energia entre rios ltda,RS,Sul,site_institucional_distribuidora,UF confirmada no site institucional da Certhil: atuação no Noroeste Gaúcho.
76583962000182,CERTREL,COOPERATIVA DE ENERGIA TREVISO,cooperativa de energia treviso,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Certrel.
55188502000180,CERVAM,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,cooperativa de energizacao e de desenvolvimento do vale do mogi,SP,Sudeste,site_institucional_distribuidora,"UF confirmada no site institucional da Cervam, com sede/atuação em Porto Ferreira/SP."
49313653000110,CETRIL,COOPERATIVA DE ELETRIFICACAO DE IBIUNA E REGIAO,cooperativa de eletrificacao de ibiuna e regiao,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cetril.
49313653000110,CETRIL,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,cooperativa de eletrificacao de ibiuna e regiao,SP,Sudeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cetril.
19527639000158,CFLCL,Companhia Força e Luz Cataguazes-Leopoldina,companhia forca e luz cataguazes-leopoldina,MG,Sudeste,curadoria_manual_probabilistica_fase_5_5b,UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Nome Cataguazes-Leopoldina e associacao historica Minas/Rio; escolhida MG como UF mais provavel. Observacao anterior: Área de concessão multiestado identificada para Energisa Minas Rio/EMG: municípios em MG e RJ; não atribuir UF única sem regra metodológica adicional.
77882504000107,CFLO,COMPANHIA FORÇA E LUZ DO OESTE,companhia forca e luz do oeste,PR,Sul,curadoria_manual_validada,Agente histórico Companhia Força e Luz do Oeste; UF definida pela área estadual no Paraná antes da reorganização societária.
01377555000110,CHESP,COMPANHIA HIDROELETRICA SAO PATRICIO - CHESP,companhia hidroeletrica sao patricio - chesp,GO,Centro-Oeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Chesp.
01377555000110,CHESP,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,companhia hidroeletrica sao patricio - chesp,GO,Centro-Oeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Chesp.
61416244000144,CNEE,COMPANHIA NACIONAL DE ENERGIA ELÉTRICA,companhia nacional de energia eletrica,SP,Sudeste,curadoria_manual_validada,Agente histórico Companhia Nacional de Energia Elétrica; UF definida pela área estadual de distribuição em São Paulo antes da reorganização societária.
75805895000130,COCEL,COMPANHIA CAMPOLARGUENSE DE ENERGIA COCEL,companhia campolarguense de energia cocel,PR,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cocel.
11810343000138,CODESAM,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SANTA MARIA,cooperativa de distribuicao de energia eletrica santa maria,SC,Sul,site_institucional_distribuidora,"UF confirmada em fonte cadastral/institucional para Codesam/Ceesam, em Benedito Novo/SC."
15139629000194,COELBA,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,companhia de eletricidade do estado da bahia coelba,BA,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Coelba/Neoenergia Coelba.
83646653000170,COOPERA,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO - COOPERA,cooperativa pioneira de eletrificacao - coopera,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Coopera.
83647990000181,COOPERALIANÇA,COOPERATIVA ALIANCA,cooperativa alianca,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cooperaliança.
83647990000181,COOPERALIANÇA,COOPERATIVA ALIANÇA,cooperativa alianca,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cooperaliança.
86532348000145,COOPERCOCAL,COOPERATIVA ENERGÉTICA COCAL,cooperativa energetica cocal,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Coopercocal.
95824322000161,COOPERLUZ,COOPERLUZ - COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,cooperluz - cooperativa distribuidora de energia fronteira noroeste,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cooperluz.
75568154000183,COOPERMILA,COOPERATIVA DE ELETRIFICAÇÃO LAURO MULLER,cooperativa de eletrificacao lauro muller,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Coopermila.
88022918000182,COOPERNORTE,COOPERATIVA REGIONAL DE DISTRIBUICAO DE ENERGIA DO LITORAL NORTE - COOPERNORTE,cooperativa regional de distribuicao de energia do litoral norte - coopernorte,RS,Sul,curadoria_manual_validada,Coopernorte/Litoral Norte; UF definida pela área regional no Rio Grande do Sul.
88022918000182,COOPERNORTE,COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE - COOPERNORTE,cooperativa regional de distribuicao de energia do litoral norte - coopernorte,RS,Sul,curadoria_manual_validada,Coopernorte/Litoral Norte; UF definida pela área regional no Rio Grande do Sul.
87462750000163,COOPERSUL,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,cooperativa regional de eletrificacao rural fronteira sul ltda,RS,Sul,curadoria_manual_validada,Coopersul/Fronteira Sul; UF definida pela área regional no Rio Grande do Sul.
78829843000192,COOPERZEM,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,cooperzem cooperativa de distribuicao de energia eletrica,SC,Sul,curadoria_manual_validada,Cooperzem; UF definida pela área municipal/estadual inequívoca em Santa Catarina.
86448057000173,COORSEL,COOPERATIVA REGIONAL SUL DE ELETRIFICACAO RURAL,cooperativa regional sul de eletrificacao rural,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Coorsel.
86448057000173,COORSEL,COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,cooperativa regional sul de eletrificacao rural,SC,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Coorsel.
04368898000106,COPEL-DIS,COPEL DISTRIBUIÇÃO S.A.,copel distribuicao s.a.,PR,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Copel Distribuição.
90660754000160,COPREL,COPREL COOPERATIVA DE ENERGIA,coprel cooperativa de energia,RS,Sul,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Coprel.
08324196000181,COSERN,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN,companhia energetica do rio grande do norte cosern,RN,Nordeste,aneel_cadastro_agentes,UF confirmada em fonte oficial ANEEL para Cosern/Neoenergia Cosern.
53859112000169,CPFL JAGUARI,COMPANHIA JAGUARI DE ENERGIA,companhia jaguari de energia,SP,Sudeste,curadoria_manual_validada,Agente histórico CPFL Jaguari; UF definida pela área estadual em São Paulo antes da incorporação.
53859112000169,CPFL Jaguari,COMPANHIA JAGUARI DE ENERGIA,companhia jaguari de energia,SP,Sudeste,curadoria_manual_validada,Agente histórico CPFL Jaguari; UF definida pela área estadual em São Paulo antes da incorporação.
61015582000174,CPFL Leste Paulista,COMPANHIA LESTE PAULISTA DE ENERGIA,companhia leste paulista de energia,SP,Sudeste,curadoria_manual_validada,Agente histórico CPFL Leste Paulista; UF definida pela área estadual em São Paulo antes da incorporação.
52503802000118,CPFL Mococa,COMPANHIA LUZ E FORÇA DE MOCOCA,companhia luz e forca de mococa,SP,Sudeste,curadoria_manual_validada,Agente histórico CPFL Mococa; UF definida pela área estadual em São Paulo antes da incorporação.
61116265000144,CPFL Santa Cruz,COMPANHIA LUZ E FORÇA SANTA CRUZ,companhia luz e forca santa cruz,SP,Sudeste,curadoria_manual_probabilistica_fase_5_5b,"UF preenchida por curadoria manual pragmatica para fechamento do trabalho; validar em fonte oficial em trabalho futuro. Criterio: Sigla/nome CPFL Santa Cruz e area historica com forte associacao a SP; escolhida SP apesar de atuacao multiestado. Observacao anterior: Área de atuação multiestado identificada para CPFL Santa Cruz: municípios em SP, PR e MG; não atribuir UF única."
